tutorial_id,source_folder,source_type,series_name,order_index,youtube_url,video_id,channel,title,transcript_path,repo_root,godot_version,start_source_folder,gt_source_folder,status,notes
fps_002_crouching,FPS002_Crouching,checkpoint,the_godot_fps_project,2,https://www.youtube.com/watch?v=qzncNwdSIkA&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=2,qzncNwdSIkA,,Crouching,metadata/transcripts/fps_002_crouching.txt,/Users/sejoonchang/Desktop/Data/FPS002_Crouching,4.6,,FPS002_Crouching,needs_metadata,
fps_003_create_dynamic_crosshair,FPS003_CreateDynamicCrosshair,checkpoint,the_godot_fps_project,3,https://www.youtube.com/watch?v=B-PvZgVdU4o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=3,B-PvZgVdU4o,,Create Dynamic Crosshair,metadata/transcripts/fps_003_create_dynamic_crosshair.txt,/Users/sejoonchang/Desktop/Data/FPS003_CreateDynamicCrosshair,4.1,FPS002_Crouching,FPS003_CreateDynamicCrosshair,needs_metadata,
fps_004_animate_dynamic_crosshair,FPS004_AnimateDynamicCrosshair,checkpoint,the_godot_fps_project,4,https://www.youtube.com/watch?v=xI_i2K9kAOw&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=4,xI_i2K9kAOw,,Animate Dynamic Crosshair,metadata/transcripts/fps_004_animate_dynamic_crosshair.txt,/Users/sejoonchang/Desktop/Data/FPS004_AnimateDynamicCrosshair,4.1,FPS003_CreateDynamicCrosshair,FPS004_AnimateDynamicCrosshair,duplicate_snapshot,Same saved project bytes as FPS003_CreateDynamicCrosshair after ignored files are excluded; keep transcript/video for provenance or manual task recovery.
fps_005_add_debug_info_panel,FPS005_AddDebugInfoPanel,checkpoint,the_godot_fps_project,5,https://www.youtube.com/watch?v=aRiwRgJC1K4&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=5,aRiwRgJC1K4,,Add Debug Info Panel,metadata/transcripts/fps_005_add_debug_info_panel.txt,/Users/sejoonchang/Desktop/Data/FPS005_AddDebugInfoPanel,4.1,FPS004_AnimateDynamicCrosshair,FPS005_AddDebugInfoPanel,needs_metadata,
fps_006_debug_panel_singleton,FPS006_DebugPanelSingleton,checkpoint,the_godot_fps_project,6,https://www.youtube.com/watch?v=P-Owt8ifC-s&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=6,P-Owt8ifC-s,,Debug Panel Singleton,metadata/transcripts/fps_006_debug_panel_singleton.txt,/Users/sejoonchang/Desktop/Data/FPS006_DebugPanelSingleton,4.1,FPS005_AddDebugInfoPanel,FPS006_DebugPanelSingleton,needs_metadata,
fps_007_movement_state_machine_intro,FPS007_MovementStateMachineIntro,checkpoint,the_godot_fps_project,7,https://www.youtube.com/watch?v=VtJXqRsFezY&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=7,VtJXqRsFezY,,Movement State Machine Intro,metadata/transcripts/fps_007_movement_state_machine_intro.txt,/Users/sejoonchang/Desktop/Data/FPS007_MovementStateMachineIntro,4.1,FPS006_DebugPanelSingleton,FPS007_MovementStateMachineIntro,needs_metadata,
fps_008_state_machine_walking,FPS008_StateMachineWalking,checkpoint,the_godot_fps_project,8,https://www.youtube.com/watch?v=BxBmHNh4j10&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=8,BxBmHNh4j10,,State Machine Walking,metadata/transcripts/fps_008_state_machine_walking.txt,/Users/sejoonchang/Desktop/Data/FPS008_StateMachineWalking,4.1,FPS007_MovementStateMachineIntro,FPS008_StateMachineWalking,needs_metadata,
fps_009_state_machine_sprinting,FPS009_StateMachineSprinting,checkpoint,the_godot_fps_project,9,https://www.youtube.com/watch?v=GcQTw0IqF4U&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=9,GcQTw0IqF4U,,State Machine Sprinting,metadata/transcripts/fps_009_state_machine_sprinting.txt,/Users/sejoonchang/Desktop/Data/FPS009_StateMachineSprinting,4.1,FPS008_StateMachineWalking,FPS009_StateMachineSprinting,needs_metadata,
fps_010_state_machine_optimization,FPS010_StateMachineOptimization,checkpoint,the_godot_fps_project,10,https://www.youtube.com/watch?v=_sVXjXLK74o&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=10,_sVXjXLK74o,,State Machine Optimization,metadata/transcripts/fps_010_state_machine_optimization.txt,/Users/sejoonchang/Desktop/Data/FPS010_StateMachineOptimization,4.1,FPS009_StateMachineSprinting,FPS010_StateMachineOptimization,needs_metadata,
fps_011_state_machine_crouching,FPS011_StateMachineCrouching,checkpoint,the_godot_fps_project,11,https://www.youtube.com/watch?v=vH7vFVKpn80&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=11,vH7vFVKpn80,,State Machine Crouching,metadata/transcripts/fps_011_state_machine_crouching.txt,/Users/sejoonchang/Desktop/Data/FPS011_StateMachineCrouching,4.1,FPS010_StateMachineOptimization,FPS011_StateMachineCrouching,needs_metadata,
fps_012_state_machine_sliding,FPS012_StateMachineSliding,checkpoint,the_godot_fps_project,12,https://www.youtube.com/watch?v=Ao--ALtrZZg&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=12,Ao--ALtrZZg,,State Machine Sliding,metadata/transcripts/fps_012_state_machine_sliding.txt,/Users/sejoonchang/Desktop/Data/FPS012_StateMachineSliding,4.1,FPS011_StateMachineCrouching,FPS012_StateMachineSliding,needs_metadata,
fps_013_state_machine_basic_jump,FPS013_StateMachineBasicJump,checkpoint,the_godot_fps_project,13,https://www.youtube.com/watch?v=4HI_iOM5LfI&list=PLEHvj4yeNfeF6s-UVs5Zx5TfNYmeCiYwf&index=13,4HI_iOM5LfI,,State Machine Basic Jump,metadata/transcripts/fps_013_state_machine_basic_jump.txt,/Users/sejoonchang/Desktop/Data/FPS013_StateMachineBasicJump,4.1,FPS012_StateMachineSliding,FPS013_StateMachineBasicJump,needs_metadata,
